smiles,bp_C,BP_K,MW,Name,Wiener,Z1,Z2
C,-164.0,109.15,16.04,methane,0,0.0,0.0
CC,-88.6,184.55,30.07,ethane,1,2.0,1.0
CCC,-42.1,231.05,44.1,propane,4,6.0,4.0
CC(C)C,-11.7,261.45,58.12,2-methylpropane,9,12.0,9.0
CCCC,-0.5,272.65,58.12,butane,10,10.0,8.0
CC(C)(C)C,9.5,282.65,72.15,"2,2-dimethylpropane",16,20.0,16.0
CCC(C)C,27.8,300.95,72.15,2-methylbutane,18,16.0,14.0
CCCCC,36.1,309.25,72.15,pentane,20,14.0,12.0
CCC(C)(C)C,49.7,322.85,86.18,"2,2-dimethylbutane",28,24.0,22.0
CC(C)C(C)C,58.0,331.15,86.18,"2,3-dimethylbutane",29,22.0,21.0
CCCC(C)C,60.3,333.45,86.18,2-methylpentane,32,20.0,18.0
CCCCCC,69.0,342.15,86.18,hexane,35,18.0,16.0
CC(C)C(C)(C)C,80.9,354.05,100.2,"2,2,3-trimethylbutane",42,30.0,30.0
CCCC(C)(C)C,79.2,352.35,100.2,"2,2-dimethylpentane",46,28.0,26.0
CCC(C)C(C)C,89.8,362.95,100.2,"2,3-dimethylpentane",46,26.0,26.0
CC(C)CC(C)C,80.5,353.65,100.2,"2,4-dimethylpentane",48,26.0,24.0
CCC(C)(C)CC,86.1,359.25,100.2,"3,3-dimethylpentane",44,28.0,28.0
CCCC(C)CC,92.0,365.15,100.2,3-methylhexane,50,24.0,23.0
CCCCC(C)C,90.0,363.15,100.21,2-methylhexane,52,24.0,22.0
CC(C)(C)C(C)(C)C,106.5,379.65,114.23,"2,2,3,3-tetramethylbutane",58,38.0,40.0
CCC(C)C(C)(C)C,110.0,383.15,114.23,"2,2,3-trimethylpentane",63,34.0,35.0
CC(C)CC(C)(C)C,99.2,372.35,114.23,"2,2,4-trimethylpentane",66,34.0,32.0
CCCCC(C)(C)C,106.8,379.95,114.23,"2,2-dimethylhexane",71,32.0,30.0
CCC(C)(C)C(C)C,114.7,387.85,114.23,"2,3,3-trimethylpentane",62,34.0,36.0
CC(C)C(C)C(C)C,113.4,386.55,114.23,"2,3,4-trimethylpentane",65,32.0,33.0
CCCC(C)C(C)C,115.6,388.75,114.23,"2,3-dimethylhexane",70,30.0,30.0
CCC(C)CC(C)C,109.4,382.55,114.23,"2,4-dimethylhexane",71,30.0,29.0
CCCC(C)(C)CC,112.0,385.15,114.23,"3,3-dimethylhexane",67,32.0,32.0
CCC(C)C(C)CC,117.7,390.85,114.23,"3,4-dimethylhexane",68,30.0,31.0
CCCC(C)CCC,118.5,391.65,114.23,4-methylheptane,75,28.0,27.0
CCCCCCCC,125.7,398.85,114.23,octane,84,26.0,24.0
CC(C)CCC(C)C,109.0,382.15,114.23,"2,5-dimethylhexane",74,30.0,28.0
CCCCCC(C)C,117.6,390.75,114.23,2-methylheptane,79,28.0,26.0
CCCCC(C)CC,118.0,391.15,114.23,3-methylheptane,76,28.0,27.0
CCC(C)(C)C(C)(C)C,140.27,413.42,128.25,"2,2,3,3-tetramethylpentane",82,42.0,46.0
CCCC(C)C(C)(C)C,131.7,404.85,128.25,"2,2,3-trimethylhexane",92,38.0,39.0
CC(C)(C)CC(C)(C)C,122.7,395.85,128.25,"2,2,4,4-tetramethylpentane",88,42.0,40.0
CCC(C)CC(C)(C)C,126.5,399.65,128.25,"2,2,4-trimethylhexane",94,38.0,37.0
CCCCCC(C)(C)C,132.7,405.85,128.25,"2,2-dimethylheptane",104,36.0,34.0
CC(C)C(C)(C)C(C)C,141.5,414.65,128.25,"2,3,3,4-tetramethylpentane",84,40.0,44.0
CCC(C)C(C)C(C)C,139.0,412.15,128.25,"2,3,4-trimethylhexane",92,36.0,38.0
CC(C)CC(C)C(C)C,131.3,404.45,128.25,"2,3,5-trimethylhexane",96,36.0,36.0
CCCCC(C)C(C)C,140.5,413.65,128.25,"2,3-dimethylheptane",102,34.0,34.0
CCC(C)(C)CC(C)C,126.5,399.65,128.25,"2,4,4-trimethylhexane",92,38.0,38.0
CCCC(C)CC(C)C,133.5,406.65,128.25,"2,4-dimethylheptane",102,34.0,33.0
CCC(C)CCC(C)C,133.8,406.95,128.25,"2,5-dimethylheptane",104,34.0,33.0
CCC(C)C(C)(C)CC,140.5,413.65,128.25,"3,3,4-trimethylhexane",88,38.0,41.0
CCCCC(C)(C)CC,137.3,410.45,128.25,"3,3-dimethylheptane",98,36.0,36.0
CCCC(C)C(C)CC,140.4,413.55,128.25,"3,4-dimethylheptane",98,34.0,35.0
CCC(C)CC(C)CC,136.0,409.15,128.25,"3,5-dimethylheptane",100,34.0,34.0
CCCCCC(C)CC,143.3,416.45,128.25,3-methyloctane,110,32.0,31.0
CCCC(C)(C)CCC,135.2,408.35,128.25,"4,4-dimethylheptane",96,36.0,36.0
CCCCC(C)CCC,141.2,414.35,128.25,4-methyloctane,108,32.0,31.0
CCCCCCCCC,151.77,424.92,128.25,nonane,120,30.0,28.0
CCCC(C)(C)C(C)C,137.7,410.85,128.26,"2,3,3-trimethylhexane",90,38.0,40.0
CC(C)CCCC(C)C,135.2,408.35,128.26,"2,6-dimethylheptane",108,34.0,32.0
CCCCCCC(C)C,142.8,415.95,128.26,2-methyloctane,114,32.0,30.0
CC(C)C(C)(C)C(C)(C)C,166.05,439.2,142.28,"2,2,3,3,4-pentamethylpentane",108,48.0,54.0
CCCC(C)(C)C(C)(C)C,158.0,431.15,142.28,"2,2,3,3-tetramethylhexane",115,46.0,50.0
CC(C(C)(C)C)C(C)(C)C,159.29,432.44,142.28,"2,2,3,4,4-pentamethylpentane",111,48.0,51.0
CCC(C)C(C)C(C)(C)C,168.0,441.15,142.28,"2,2,3,4-tetramethylhexane",118,44.0,47.0
CC(C)CC(C)C(C)(C)C,148.4,421.55,142.28,"2,2,3,5-tetramethylhexane",123,44.0,45.0
CCCCC(C)C(C)(C)C,158.0,431.15,142.28,"2,2,3-trimethylheptane",130,42.0,43.0
CC(C)C(C)CC(C)(C)C,148.2,421.35,142.28,"2,2,4,5-tetramethylhexane",124,44.0,44.0
CCCC(C)CC(C)(C)C,147.7,420.85,142.28,"2,2,4-trimethylheptane",131,42.0,41.0
CC(C)(C)CCC(C)(C)C,137.46,410.61,142.28,"2,2,5,5-tetramethylhexane",127,46.0,44.0
CCC(C)CCC(C)(C)C,148.0,421.15,142.28,"2,2,5-trimethylheptane",134,42.0,41.0
CC(C)CCCC(C)(C)C,148.2,421.35,142.28,"2,2,6-trimethylheptane",139,42.0,40.0
CCCCCCC(C)(C)C,155.0,428.15,142.28,"2,2-dimethyloctane",146,40.0,38.0
CCC(C)C(C)(C)C(C)C,164.59,437.74,142.28,"2,3,3,4-tetramethylhexane",115,44.0,49.0
CC(C)CC(C)(C)C(C)C,157.04,430.19,142.28,"2,3,3,5-tetramethylhexane",120,44.0,46.0
CCCCC(C)(C)C(C)C,160.1,433.25,142.28,"2,3,3-trimethylheptane",127,42.0,44.0
CC(C)C(C)C(C)C(C)C,161.0,434.15,142.28,"2,3,4,5-tetramethylhexane",121,42.0,45.0
CCCC(C)C(C)C(C)C,163.0,436.15,142.28,"2,3,4-trimethylheptane",128,40.0,42.0
CCC(C)CC(C)C(C)C,157.0,430.15,142.28,"2,3,5-trimethylheptane",131,40.0,41.0
CC(C)CCC(C)C(C)C,155.7,428.85,142.28,"2,3,6-trimethylheptane",136,40.0,40.0
CCCCCC(C)C(C)C,164.31,437.46,142.28,"2,3-dimethyloctane",143,38.0,38.0
CCCC(C)(C)CC(C)C,163.0,436.15,142.28,"2,4,4-trimethylheptane",127,42.0,42.0
CC(C)CC(C)CC(C)C,144.8,417.95,142.28,"2,4,6-trimethylheptane",135,40.0,39.0
CCCCC(C)CC(C)C,153.0,426.15,142.28,"2,4-dimethyloctane",142,38.0,37.0
CCC(C)(C)CCC(C)C,152.8,425.95,142.28,"2,5,5-trimethylheptane",131,42.0,42.0
CCCC(C)CCC(C)C,156.8,429.95,142.28,"2,5-dimethyloctane",143,38.0,37.0
CCC(C)CCCC(C)C,158.84,431.99,142.28,"2,6-dimethyloctane",146,38.0,37.0
CCCCCCCC(C)C,167.0,440.15,142.28,2-methylnonane,158,36.0,34.0
CCC(C)(C)C(C)(C)CC,170.5,443.65,142.28,"3,3,4,4-tetramethylhexane",111,46.0,52.0
CCCC(C)C(C)(C)CC,164.0,437.15,142.28,"3,3,4-trimethylheptane",123,42.0,45.0
CCC(C)CC(C)(C)CC,155.68,428.83,142.28,"3,3,5-trimethylheptane",126,42.0,43.0
CCCCCC(C)(C)CC,161.2,434.35,142.28,"3,3-dimethyloctane",138,40.0,40.0
CCCC(C)(C)C(C)CC,164.0,437.15,142.28,"3,4,4-trimethylheptane",122,42.0,45.0
CCCC(C)CC(C)CC,158.3,431.45,142.28,"3,5-dimethyloctane",138,38.0,38.0
CCC(C)CCC(C)CC,160.0,433.15,142.28,"3,6-dimethyloctane",141,38.0,38.0
CCCCCCC(C)CC,167.8,440.95,142.28,3-methylnonane,153,36.0,35.0
CCCCC(C)(C)CCC,157.5,430.65,142.28,"4,4-dimethyloctane",134,40.0,40.0
CCCC(C)C(C)CCC,167.0,440.15,142.28,"4,5-dimethyloctane",135,38.0,39.0
CCCCCC(C)CCC,165.7,438.85,142.28,4-methylnonane,150,36.0,35.0
CCCCCCCCCC,174.12,447.27,142.28,decane,165,34.0,32.0
CCC(C)(C)CC(C)(C)C,153.3,426.45,142.29,"2,2,4,4-tetramethylhexane",119,46.0,46.0
CCC(C)(C)C(C)C(C)C,162.2,435.35,142.29,"2,3,4,4-tetramethylhexane",116,44.0,48.0
CCC(C)C(C)CC(C)C,157.0,430.15,142.29,"2,4,5-trimethylheptane",130,40.0,41.0
CCC(C)C(C)C(C)CC,164.0,437.15,142.29,"3,4,5-trimethylheptane",125,40.0,43.0
CCCCC(C)C(C)CC,166.0,439.15,142.29,"3,4-dimethyloctane",137,38.0,39.0
CCCCC(C)CCCC,165.1,438.25,142.29,5-methylnonane,149,36.0,35.0
